hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 600.00000, 19.6952, 1.88284, 21.2998, 5.43852, 17.4182, 5.05029, 0, 0
0, 1200.00000, 19.5282, 1.85656, 21.1215, 5.3816, 17.2721, 4.99892, 0, 0
0, 1800.00000, 19.427, 1.8406, 21.0137, 5.34738, 17.1834, 4.96805, 0, 0
0, 2400.00000, 19.661, 1.87737, 21.2632, 5.42704, 17.388, 5.03981, 0, 0
0, 3000.00000, 19.4946, 1.85126, 21.0857, 5.3702, 17.2426, 4.98864, 0, 0
1, 0.00000, 19.5273, 1.85633, 21.1207, 5.38149, 17.2711, 4.99878, 0, 0
1, 600.00000, 19.561, 1.86164, 21.1565, 5.39289, 17.3006, 5.00907, 0, 0
1, 1200.00000, 19.2933, 1.8197, 20.8709, 5.30198, 17.0664, 4.92713, 0, 0
1, 1800.00000, 18.9561, 1.76727, 20.5112, 5.18864, 16.7707, 4.82476, 0, 0
1, 2400.00000, 18.8556, 1.75183, 20.4039, 5.15483, 16.6827, 4.79425, 0, 0
1, 3000.00000, 18.7882, 1.74149, 20.3321, 5.13229, 16.6236, 4.77389, 0, 0
2, 0.00000, 18.721, 1.73122, 20.2603, 5.10979, 16.5648, 4.75357, 0, 0
2, 600.00000, 18.4866, 1.69565, 20.0099, 5.03131, 16.3595, 4.68268, 0, 0
2, 1200.00000, 18.4188, 1.68537, 19.9375, 5.00889, 16.2999, 4.66238, 0, 0
2, 1800.00000, 18.4185, 1.68531, 19.9372, 5.00887, 16.2996, 4.66234, 0, 0
2, 2400.00000, 18.385, 1.68028, 19.9015, 4.9977, 16.2703, 4.65225, 0, 0
2, 3000.00000, 18.4852, 1.69536, 20.0085, 5.03122, 16.3579, 4.68252, 0, 0
3, 0.00000, 18.4522, 1.6904, 19.9732, 5.02006, 16.3291, 4.67247, 0, 0
3, 600.00000, 18.4186, 1.68534, 19.9373, 5.00888, 16.2997, 4.66236, 0, 0
3, 1200.00000, 18.3182, 1.67024, 19.83, 4.97538, 16.2117, 4.63209, 0, 0
3, 1800.00000, 17.9487, 1.6152, 19.435, 4.85301, 15.8878, 4.52134, 0, 0
3, 2400.00000, 17.6467, 1.57088, 19.1121, 4.75351, 15.6231, 4.43125, 0, 0
3, 3000.00000, 17.4796, 1.54659, 18.9332, 4.69845, 15.4768, 4.38142, 0, 0
4, 0.00000, 17.3787, 1.53202, 18.8253, 4.66551, 15.3883, 4.35154, 0, 0
4, 600.00000, 17.2113, 1.50798, 18.6461, 4.61072, 15.2417, 4.30189, 0, 0
4, 1200.00000, 17.1773, 1.50312, 18.6097, 4.5998, 15.2117, 4.29195, 0, 0
4, 1800.00000, 17.077, 1.48882, 18.5023, 4.56702, 15.1239, 4.26224, 0, 0
4, 2400.00000, 17.2102, 1.50783, 18.645, 4.61076, 15.2404, 4.30183, 0, 0
4, 3000.00000, 17.3109, 1.52226, 18.7528, 4.6436, 15.3287, 4.33162, 0, 0
5, 0.00000, 17.4449, 1.54157, 18.8962, 4.68748, 15.4461, 4.37139, 0, 0
5, 600.00000, 17.4788, 1.54648, 18.9325, 4.69846, 15.4759, 4.38137, 0, 0
5, 1200.00000, 17.7128, 1.58051, 19.1829, 4.77557, 15.6808, 4.45116, 0, 0
5, 1800.00000, 17.7471, 1.58554, 19.2195, 4.78661, 15.7111, 4.46123, 0, 0
5, 2400.00000, 17.7807, 1.59046, 19.2554, 4.79766, 15.7405, 4.47123, 0, 0
5, 3000.00000, 17.6137, 1.56607, 19.0768, 4.74248, 15.5944, 4.42131, 0, 0
6, 0.00000, 16.5448, 1.47218, 18.0074, 4.62088, 14.5493, 4.31318, 0, 0
6, 600.00000, 16.1622, 1.46728, 17.6048, 4.58689, 14.1818, 4.27644, 0, 0
6, 1200.00000, 16.0621, 1.45366, 17.4976, 4.55482, 14.0942, 4.2474, 0, 0
6, 1800.00000, 16.0448, 1.45966, 17.4803, 4.56489, 14.0734, 4.25545, 0, 0
6, 2400.00000, 16.0024, 1.47471, 17.438, 4.58993, 14.0223, 4.27557, 0, 0
6, 3000.00000, 15.926, 1.50187, 17.3618, 4.63504, 13.9305, 4.31186, 0, 0
7, 0.00000, 15.7668, 1.50966, 17.1956, 4.63834, 13.7717, 4.31142, 0, 0
7, 600.00000, 15.5867, 1.51703, 17.0074, 4.63919, 13.5932, 4.30848, 0, 0
7, 1200.00000, 15.2611, 1.52028, 16.6654, 4.62139, 13.2776, 4.28697, 0, 0
7, 1800.00000, 15.1183, 1.53956, 16.5182, 4.64638, 13.1277, 4.30529, 0, 0
7, 2400.00000, 14.8314, 1.5384, 16.216, 4.62223, 12.853, 4.27944, 0, 0
7, 3000.00000, 13.972, 1.52226, 15.3084, 4.5235, 12.041, 4.18023, 0, 0
8, 0.00000, 13.6787, 1.54384, 15.0023, 4.53804, 11.7474, 4.18719, 0, 0
8, 600.00000, 12.2748, 1.53787, 13.5192, 4.39972, 10.4185, 4.04648, 0, 0
8, 1200.00000, 9.64823, 1.5653, 10.7405, 4.17495, 7.93432, 3.81604, 0, 0
8, 1800.00000, 9.13553, 1.57622, 10.1974, 4.13612, 7.44954, 3.77579, 0, 0
8, 2400.00000, 6.35783, 1.65204, 7.24984, 3.9242, 4.83609, 3.56062, 0, 0
8, 3000.00000, 5.37754, 1.69724, 6.20958, 3.87088, 3.91113, 3.50463, 0, 0
9, 0.00000, 2.03762, 1.89302, 2.65769, 3.71896, 0.766341, 3.34299, 0, 0
9, 600.00000, 1.29647, 1.95942, 1.87065, 3.71557, 0.0626848, 3.33475, 0, 0
9, 1200.00000, 0.159242, 2.05936, 0.660255, 3.70111, -1.01205, 3.31412, 0, 0
9, 1800.00000, -0.816127, 2.14288, -0.380639, 3.67872, -1.92846, 3.28795, 0, 0
9, 2400.00000, -1.12694, 2.19358, -0.707874, 3.71269, -2.23299, 3.31606, 0, 0
9, 3000.00000, -1.80754, 2.2881, -1.42867, 3.75362, -2.88728, 3.34897, 0, 0
10, 0.00000, -2.15297, 2.33489, -1.7951, 3.77164, -3.2183, 3.36319, 0, 0
