hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 600.00000, 118.584, -33.7903, 120.066, -153.528, 119.773, 85.5656, 11.0922, -33.9179, 11.093, -153.912, 11.0935, 86.0814
0, 1200.00000, 118.669, -33.7578, 120.138, -153.498, 119.847, 85.6043, 10.9884, -33.888, 10.9892, -153.882, 10.9897, 86.1113
0, 1800.00000, 118.722, -33.738, 120.182, -153.48, 119.893, 85.6278, 10.9253, -33.8666, 10.9261, -153.861, 10.9266, 86.1328
0, 2400.00000, 118.601, -33.7836, 120.081, -153.522, 119.788, 85.5736, 11.0708, -33.909, 11.0715, -153.903, 11.0721, 86.0903
0, 3000.00000, 118.687, -33.7513, 120.153, -153.492, 119.862, 85.6121, 10.9674, -33.8812, 10.9682, -153.875, 10.9688, 86.1181
1, 0.00000, 118.67, -33.7576, 120.139, -153.498, 119.848, 85.6046, 10.9876, -33.8849, 10.9884, -153.879, 10.989, 86.1145
1, 600.00000, 118.653, -33.7642, 120.124, -153.504, 119.833, 85.5968, 11.0086, -33.8917, 11.0094, -153.886, 11.0099, 86.1077
1, 1200.00000, 118.79, -33.712, 120.24, -153.456, 119.952, 85.6587, 10.8422, -33.842, 10.8429, -153.836, 10.8435, 86.1574
1, 1800.00000, 118.964, -33.6461, 120.386, -153.395, 120.103, 85.7371, 10.6325, -33.7702, 10.6332, -153.765, 10.6337, 86.2292
1, 2400.00000, 119.016, -33.6265, 120.429, -153.377, 120.148, 85.7603, 10.5702, -33.751, 10.5709, -153.746, 10.5714, 86.2484
1, 3000.00000, 119.051, -33.6134, 120.458, -153.365, 120.178, 85.7759, 10.5284, -33.7369, 10.5291, -153.732, 10.5296, 86.2625
2, 0.00000, 119.085, -33.6003, 120.487, -153.353, 120.208, 85.7915, 10.4868, -33.7233, 10.4874, -153.718, 10.4879, 86.2761
2, 600.00000, 119.205, -33.5547, 120.588, -153.311, 120.313, 85.8456, 10.3417, -33.6785, 10.3424, -153.673, 10.3428, 86.3209
2, 1200.00000, 119.241, -33.5414, 120.617, -153.299, 120.343, 85.8614, 10.2996, -33.6623, 10.3003, -153.657, 10.3007, 86.3371
2, 1800.00000, 119.241, -33.5413, 120.617, -153.299, 120.343, 85.8615, 10.2994, -33.6612, 10.3, -153.656, 10.3005, 86.3382
2, 2400.00000, 119.258, -33.5348, 120.632, -153.293, 120.358, 85.8692, 10.2788, -33.655, 10.2794, -153.65, 10.2798, 86.3445
2, 3000.00000, 119.207, -33.5543, 120.589, -153.311, 120.313, 85.8461, 10.3406, -33.6732, 10.3413, -153.668, 10.3417, 86.3262
3, 0.00000, 119.223, -33.5479, 120.603, -153.305, 120.328, 85.8537, 10.3203, -33.6685, 10.3209, -153.664, 10.3214, 86.3309
3, 600.00000, 119.241, -33.5414, 120.617, -153.299, 120.343, 85.8614, 10.2995, -33.6618, 10.3002, -153.657, 10.3006, 86.3377
3, 1200.00000, 119.292, -33.5218, 120.661, -153.281, 120.388, 85.8846, 10.2375, -33.6425, 10.2381, -153.638, 10.2385, 86.3569
3, 1800.00000, 119.482, -33.4499, 120.82, -153.215, 120.552, 85.97, 10.0093, -33.5669, 10.0099, -153.562, 10.0103, 86.4326
3, 2400.00000, 119.636, -33.3913, 120.949, -153.161, 120.687, 86.0397, 9.82335, -33.506, 9.8239, -153.501, 9.8243, 86.4935
3, 3000.00000, 119.721, -33.3589, 121.021, -153.131, 120.761, 86.0781, 9.72064, -33.4746, 9.72118, -153.47, 9.72157, 86.5249
4, 0.00000, 119.773, -33.3393, 121.064, -153.113, 120.806, 86.1014, 9.65865, -33.4533, 9.65917, -153.449, 9.65955, 86.5463
4, 600.00000, 119.858, -33.3068, 121.136, -153.083, 120.88, 86.1399, 9.55593, -33.4206, 9.55644, -153.416, 9.5568, 86.5789
4, 1200.00000, 119.876, -33.3002, 121.15, -153.077, 120.895, 86.1478, 9.535, -33.4117, 9.5355, -153.407, 9.53587, 86.5878
4, 1800.00000, 119.927, -33.2807, 121.193, -153.059, 120.94, 86.1708, 9.47352, -33.3926, 9.47401, -153.388, 9.47437, 86.607
4, 2400.00000, 119.859, -33.3065, 121.136, -153.083, 120.881, 86.1403, 9.5551, -33.4157, 9.5556, -153.411, 9.55597, 86.5838
4, 3000.00000, 119.808, -33.326, 121.093, -153.101, 120.836, 86.1171, 9.61691, -33.4365, 9.61742, -153.432, 9.61779, 86.563
5, 0.00000, 119.74, -33.352, 121.036, -153.125, 120.776, 86.0863, 9.69918, -33.463, 9.6997, -153.459, 9.70009, 86.5366
5, 600.00000, 119.722, -33.3586, 121.021, -153.131, 120.761, 86.0784, 9.72007, -33.4713, 9.7206, -153.467, 9.72099, 86.5282
5, 1200.00000, 119.603, -33.404, 120.921, -153.173, 120.657, 86.0246, 9.86388, -33.5154, 9.86443, -153.511, 9.86484, 86.4841
5, 1800.00000, 119.585, -33.4107, 120.906, -153.179, 120.642, 86.0165, 9.88512, -33.5253, 9.88567, -153.521, 9.88608, 86.4742
5, 2400.00000, 119.568, -33.4173, 120.892, -153.185, 120.627, 86.0088, 9.90578, -33.5321, 9.90634, -153.527, 9.90675, 86.4674
5, 3000.00000, 119.653, -33.3849, 120.963, -153.155, 120.701, 86.0472, 9.80313, -33.5016, 9.80368, -153.497, 9.80408, 86.4979
6, 0.00000, 120.138, -33.1378, 121.383, -152.955, 121.068, 86.2982, 9.47894, -33.2674, 9.47933, -153.263, 9.47974, 86.7327
6, 600.00000, 120.368, -33.0476, 121.544, -152.881, 121.235, 86.4086, 9.0788, -33.1751, 9.07913, -153.171, 9.0795, 86.8251
6, 1200.00000, 120.419, -33.0283, 121.587, -152.863, 121.279, 86.4315, 9.01772, -33.1562, 9.01805, -153.152, 9.01841, 86.8439
6, 1800.00000, 120.434, -33.0221, 121.594, -152.859, 121.286, 86.4394, 8.97829, -33.1488, 8.9786, -153.145, 8.97896, 86.8514
6, 2400.00000, 120.471, -33.0069, 121.611, -152.849, 121.304, 86.4589, 8.88027, -33.1341, 8.88057, -153.13, 8.88092, 86.8661
6, 3000.00000, 120.537, -32.9796, 121.641, -152.83, 121.336, 86.494, 8.70391, -33.1075, 8.70418, -153.104, 8.70451, 86.8927
7, 0.00000, 120.64, -32.939, 121.708, -152.798, 121.404, 86.5441, 8.50597, -33.0678, 8.50621, -153.064, 8.50652, 86.9324
7, 600.00000, 120.754, -32.8938, 121.782, -152.762, 121.482, 86.5999, 8.28825, -33.0223, 8.28846, -153.019, 8.28875, 86.978
7, 1200.00000, 120.952, -32.8156, 121.918, -152.697, 121.623, 86.6958, 7.93202, -32.945, 7.93219, -152.942, 7.93245, 87.0554
7, 1800.00000, 121.052, -32.7754, 121.976, -152.667, 121.683, 86.746, 7.71583, -32.9019, 7.71597, -152.899, 7.71621, 87.0985
7, 2400.00000, 121.222, -32.7082, 122.096, -152.611, 121.807, 86.828, 7.41972, -32.8357, 7.41984, -152.833, 7.42006, 87.1648
7, 3000.00000, 121.72, -32.5125, 122.453, -152.446, 122.178, 87.0657, 6.59204, -32.6323, 6.5921, -152.63, 6.59226, 87.3682
8, 0.00000, 121.907, -32.4375, 122.573, -152.386, 122.303, 87.1585, 6.22195, -32.56, 6.22199, -152.558, 6.22212, 87.4405
8, 600.00000, 122.716, -32.1169, 123.151, -152.115, 122.903, 87.5473, 4.85942, -32.2295, 4.85942, -152.229, 4.85948, 87.7709
8, 1200.00000, 124.212, -31.5198, 124.218, -151.608, 124.013, 88.2701, 2.33054, -31.6207, 2.33053, -151.621, 2.33053, 88.3795
8, 1800.00000, 124.501, -31.4037, 124.425, -151.509, 124.229, 88.4104, 1.83843, -31.5086, 1.83842, -151.509, 1.83842, 88.4914
8, 2400.00000, 126.042, -30.7813, 125.534, -150.975, 125.383, 89.1597, 0, 0, 0, 0, 0, 0
8, 3000.00000, 126.584, -30.5606, 125.921, -150.785, 125.786, 89.4252, 0, 0, 0, 0, 0, 0
9, 0.00000, 128.403, -29.8142, 127.224, -150.14, 127.144, 90.3207, 0, 0, 0, 0, 0, 0
9, 600.00000, 128.809, -29.6452, 127.508, -149.995, 127.441, 90.5233, 0, 0, 0, 0, 0, 0
9, 1200.00000, 129.424, -29.3891, 127.943, -149.774, 127.896, 90.8297, 0, 0, 0, 0, 0, 0
9, 1800.00000, 129.942, -29.1726, 128.315, -149.585, 128.285, 91.0879, 0, 0, 0, 0, 0, 0
9, 2400.00000, 130.122, -29.0968, 128.431, -149.522, 128.406, 91.1797, 0, 0, 0, 0, 0, 0
9, 3000.00000, 130.497, -28.9366, 128.685, -149.386, 128.672, 91.3717, 0, 0, 0, 0, 0, 0
10, 0.00000, 130.687, -28.8561, 128.814, -149.317, 128.807, 91.4681, 0, 0, 0, 0, 0, 0
10, 600.00000, 131.269, -28.6093, 129.218, -149.105, 129.23, 91.7627, 0, 0, 0, 0, 0, 0
10, 1200.00000, 131.663, -28.4418, 129.496, -148.959, 129.522, 91.962, 0, 0, 0, 0, 0, 0
10, 1800.00000, 131.739, -28.407, 129.53, -148.933, 129.558, 92.0053, 0, 0, 0, 0, 0, 0
10, 2400.00000, 131.81, -28.3764, 129.577, -148.907, 129.607, 92.042, 0, 0, 0, 0, 0, 0
10, 3000.00000, 131.794, -28.383, 129.567, -148.913, 129.596, 92.0339, 0, 0, 0, 0, 0, 0
11, 0.00000, 131.943, -28.3217, 129.687, -148.856, 129.722, 92.1054, 0, 0, 0, 0, 0, 0
11, 600.00000, 132.081, -28.266, 129.802, -148.802, 129.843, 92.1701, 0, 0, 0, 0, 0, 0
11, 1200.00000, 132.13, -28.2464, 129.851, -148.782, 129.894, 92.1919, 0, 0, 0, 0, 0, 0
11, 1800.00000, 132.157, -28.2376, 129.892, -148.769, 129.937, 92.2003, 0, 0, 0, 0, 0, 0
11, 2400.00000, 132.214, -28.2163, 129.954, -148.745, 130.003, 92.2235, 0, 0, 0, 0, 0, 0
11, 3000.00000, 132.346, -28.1633, 130.067, -148.694, 130.122, 92.2848, 0, 0, 0, 0, 0, 0
12, 0.00000, 132.246, -28.2044, 129.997, -148.73, 130.047, 92.2356, 0, 0, 0, 0, 0, 0
