hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 600.00000, 19.9921, 5.25443, 22.4509, 14.4549, 18.3401, 16.8107, 0, 0
0, 1200.00000, 19.821, 5.22594, 22.2592, 14.4271, 18.1832, 16.7836, 0, 0
0, 1800.00000, 19.7176, 5.2085, 22.1434, 14.4106, 18.0882, 16.7678, 0, 0
0, 2400.00000, 19.9569, 5.24834, 22.4116, 14.4498, 18.3077, 16.8059, 0, 0
0, 3000.00000, 19.7866, 5.22016, 22.2207, 14.4215, 18.1516, 16.7783, 0, 0
1, 0.00000, 19.8202, 5.2256, 22.2584, 14.4274, 18.1823, 16.7842, 0, 0
1, 600.00000, 19.8546, 5.23137, 22.2969, 14.4329, 18.2138, 16.7895, 0, 0
1, 1200.00000, 19.5808, 5.18566, 21.99, 14.3882, 17.9627, 16.746, 0, 0
1, 1800.00000, 19.2362, 5.12757, 21.6043, 14.3332, 17.6463, 16.6933, 0, 0
1, 2400.00000, 19.1335, 5.11033, 21.4891, 14.3163, 17.552, 16.6769, 0, 0
1, 3000.00000, 19.0647, 5.09874, 21.4121, 14.3052, 17.4889, 16.6663, 0, 0
2, 0.00000, 18.996, 5.08719, 21.3351, 14.2941, 17.4258, 16.6555, 0, 0
2, 600.00000, 18.7564, 5.04694, 21.0665, 14.2546, 17.206, 16.6171, 0, 0
2, 1200.00000, 18.6871, 5.03522, 20.989, 14.2438, 17.1424, 16.6068, 0, 0
2, 1800.00000, 18.6869, 5.03516, 20.9887, 14.2439, 17.1421, 16.607, 0, 0
2, 2400.00000, 18.6527, 5.02941, 20.9504, 14.2383, 17.1108, 16.6015, 0, 0
2, 3000.00000, 18.7551, 5.0466, 21.0653, 14.2554, 17.2047, 16.6182, 0, 0
3, 0.00000, 18.7213, 5.04096, 21.0273, 14.2495, 17.1737, 16.6123, 0, 0
3, 600.00000, 18.687, 5.03519, 20.9888, 14.2439, 17.1422, 16.6069, 0, 0
3, 1200.00000, 18.5843, 5.01793, 20.8737, 14.2269, 17.0481, 16.5904, 0, 0
3, 1800.00000, 18.2068, 4.95436, 20.4506, 14.1652, 16.7017, 16.5305, 0, 0
3, 2400.00000, 17.8994, 4.90248, 20.1056, 14.1135, 16.4198, 16.4799, 0, 0
3, 3000.00000, 17.7276, 4.87352, 19.9131, 14.0855, 16.2621, 16.4527, 0, 0
4, 0.00000, 17.6246, 4.85616, 19.7976, 14.0686, 16.1677, 16.4363, 0, 0
4, 600.00000, 17.4537, 4.82727, 19.6058, 14.0399, 16.0109, 16.4081, 0, 0
4, 1200.00000, 17.419, 4.82148, 19.567, 14.0347, 15.979, 16.4031, 0, 0
4, 1800.00000, 17.3165, 4.80414, 19.452, 14.0173, 15.8851, 16.386, 0, 0
4, 2400.00000, 17.4527, 4.82725, 19.6048, 14.0409, 16.0098, 16.4094, 0, 0
4, 3000.00000, 17.5555, 4.84457, 19.7202, 14.0579, 16.1041, 16.426, 0, 0
5, 0.00000, 17.6923, 4.86766, 19.8737, 14.0808, 16.2296, 16.4484, 0, 0
5, 600.00000, 17.7269, 4.87346, 19.9124, 14.0861, 16.2614, 16.4535, 0, 0
