hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 600.00000, 126.442, -32.9553, 126.932, -153.517, 125.554, 86.5114, 0.111868, 167.177, 50.2337, -41.2707, 41.4058, -168.263, 44.2378, 88.2038, 3.00312, -62.2637
0, 1200.00000, 126.487, -32.93, 126.972, -153.487, 125.607, 86.5415, 0.110963, 167.204, 49.7914, -41.2362, 41.0538, -168.23, 43.8514, 88.2231, 2.97842, -62.2291
0, 1800.00000, 126.515, -32.9147, 126.997, -153.469, 125.639, 86.5598, 0.110419, 167.221, 49.5215, -41.2154, 40.84, -168.21, 43.6165, 88.2334, 2.9636, -62.2081
0, 2400.00000, 126.451, -32.95, 126.94, -153.511, 125.565, 86.5177, 0.111688, 167.183, 50.1397, -41.2635, 41.3325, -168.256, 44.1566, 88.2061, 2.9982, -62.2565
0, 3000.00000, 126.496, -32.9249, 126.981, -153.481, 125.617, 86.5476, 0.110781, 167.21, 49.7019, -41.2293, 40.9828, -168.223, 43.7735, 88.2266, 2.97348, -62.2221
1, 0.00000, 126.487, -32.9299, 126.973, -153.487, 125.607, 86.5417, 0.110963, 167.204, 49.7866, -41.2361, 41.0512, -168.229, 43.8481, 88.2217, 2.97843, -62.2289
1, 600.00000, 126.478, -32.9349, 126.965, -153.493, 125.597, 86.5357, 0.111144, 167.199, 49.876, -41.243, 41.1222, -168.236, 43.926, 88.2181, 2.98338, -62.2358
1, 1200.00000, 126.551, -32.8946, 127.03, -153.445, 125.681, 86.5838, 0.109693, 167.242, 49.1679, -41.1878, 40.5582, -168.184, 43.3076, 88.2488, 2.9438, -62.1803
1, 1800.00000, 126.643, -32.8436, 127.112, -153.385, 125.786, 86.6446, 0.107876, 167.297, 48.2695, -41.1183, 39.846, -168.117, 42.5251, 88.283, 2.89425, -62.1104
1, 2400.00000, 126.67, -32.8285, 127.136, -153.367, 125.818, 86.6627, 0.10733, 167.314, 48.0037, -41.0974, 39.6342, -168.097, 42.2929, 88.2943, 2.87935, -62.0895
1, 3000.00000, 126.689, -32.8183, 127.152, -153.354, 125.839, 86.6748, 0.106965, 167.324, 47.8247, -41.0835, 39.492, -168.083, 42.1369, 88.3012, 2.86942, -62.0756
2, 0.00000, 126.707, -32.8081, 127.169, -153.342, 125.86, 86.6869, 0.1066, 167.335, 47.6465, -41.0695, 39.3503, -168.07, 41.9814, 88.3083, 2.85948, -62.0617
2, 600.00000, 126.77, -32.7728, 127.226, -153.3, 125.933, 86.7291, 0.105321, 167.374, 47.0271, -41.0204, 38.8564, -168.024, 41.44, 88.3346, 2.82464, -62.013
2, 1200.00000, 126.789, -32.7625, 127.242, -153.288, 125.954, 86.7413, 0.104956, 167.384, 46.8455, -41.0064, 38.7128, -168.01, 41.2821, 88.3405, 2.81468, -61.9991
2, 1800.00000, 126.789, -32.7625, 127.242, -153.288, 125.954, 86.7414, 0.104956, 167.384, 46.844, -41.0064, 38.712, -168.01, 41.2811, 88.34, 2.81468, -61.9991
2, 2400.00000, 126.798, -32.7575, 127.25, -153.282, 125.965, 86.7474, 0.104773, 167.39, 46.7558, -40.9994, 38.6416, -168.003, 41.2039, 88.3438, 2.80969, -61.9921
2, 3000.00000, 126.771, -32.7725, 127.226, -153.3, 125.933, 86.7294, 0.105322, 167.374, 47.0197, -41.0205, 38.8524, -168.023, 41.4348, 88.3321, 2.82464, -62.0129
3, 0.00000, 126.78, -32.7676, 127.234, -153.294, 125.944, 86.7353, 0.105139, 167.379, 46.9336, -41.0134, 38.7832, -168.017, 41.3592, 88.3367, 2.81966, -62.006
3, 600.00000, 126.789, -32.7625, 127.242, -153.288, 125.954, 86.7414, 0.104956, 167.384, 46.8447, -41.0064, 38.7124, -168.01, 41.2816, 88.3403, 2.81468, -61.9991
3, 1200.00000, 126.816, -32.7474, 127.266, -153.27, 125.986, 86.7594, 0.104406, 167.401, 46.5795, -40.9853, 38.5008, -167.99, 41.0497, 88.3515, 2.79972, -61.9782
3, 1800.00000, 126.916, -32.6917, 127.356, -153.204, 126.101, 86.8259, 0.102388, 167.461, 45.6011, -40.9076, 37.7216, -167.917, 40.1951, 88.3902, 2.74478, -61.9019
3, 2400.00000, 126.997, -32.6464, 127.428, -153.15, 126.195, 86.8799, 0.100731, 167.51, 44.8091, -40.8433, 37.0882, -167.857, 39.5017, 88.4244, 2.69972, -61.8394
3, 3000.00000, 127.043, -32.621, 127.469, -153.119, 126.247, 86.9101, 0.0998083, 167.537, 44.3637, -40.8077, 36.7333, -167.823, 39.1126, 88.4412, 2.67463, -61.8049
4, 0.00000, 127.07, -32.6058, 127.493, -153.101, 126.279, 86.9282, 0.0992539, 167.553, 44.0969, -40.7863, 36.5206, -167.803, 38.8794, 88.4513, 2.65957, -61.7842
4, 600.00000, 127.115, -32.5806, 127.534, -153.071, 126.331, 86.9583, 0.0983291, 167.581, 43.6562, -40.7502, 36.1682, -167.77, 38.4935, 88.4697, 2.63444, -61.7495
4, 1200.00000, 127.124, -32.5754, 127.542, -153.065, 126.341, 86.9644, 0.0981437, 167.586, 43.5652, -40.7432, 36.0961, -167.763, 38.4143, 88.4721, 2.6294, -61.7428
