geracao,barras,potencias,energias,violacao,custo
0,"[5, 2]","[35.210207331509515, 17.02556928997533]","[59.77419542857514, 31.39720487316655]",84.02777777777779,143.40717692322653
0,"[6, 4]","[24.79499865900464, 18.004859357732748]","[126.2457244566292, 157.9858550913711]",0.6944444444444442,327.0314375647377
0,"[6, 13]","[24.79499865900464, 13.10255986397441]","[98.9342394494027, 157.9858550913711]",0.6944444444444442,327.0314375647377
0,"[5, 1]","[21.532403841446, 90.32059839176002]","[164.4493281504363, 184.97083702175217]",0.0,461.2731674053945
0,"[10, 5]","[7.1914826081102, 20.3555394521186]","[88.9063154469661, 51.452678241816784]",40.27777777777778,167.90601574901171
0,"[10, 5]","[7.1914826081102, 20.3555394521186]","[88.9063154469661, 66.5052342577564]",40.27777777777778,167.90601574901171
0,"[5, 10]","[10.956929746993072, 38.726028120144285]","[108.74138855131146, 86.5100891840197]",38.19444444444444,244.9344356024685
0,"[3, 4]","[9.696097780007696, 42.18192619484063]","[122.49398650814405, 191.29063275518502]",3.4722222222222223,365.6626432381774
0,"[3, 13]","[12.220432905304085, 38.482200300041136]","[122.70901262142483, 155.10092578844004]",13.888888888888888,328.51257161521005
0,"[13, 10]","[22.299182646130888, 29.44899448228463]","[123.23401776847851, 66.74057672192603]",138.19444444444446,241.72277161882005
0,"[13, 10]","[22.299182646130888, 29.44899448228463]","[123.23401776847851, 66.74057672192603]",138.19444444444446,241.72277161882005
0,"[14, 8]","[15.430468438250072, 31.139448718654382]","[45.10205113683701, 91.72500035510487]",150.0,183.39696864884633
0,"[12, 2]","[49.01512719813037, 76.92467984757822]","[71.34939611926528, 98.99596898255803]",127.08333333333333,296.28517214753185
0,"[1, 8]","[44.485251277767944, 30.897607602624355]","[69.73511353103987, 144.16370039799713]",128.47222222222223,289.2816728094293
0,"[1, 3]","[90.3307578308439, 44.81973426319424]","[168.93410050703176, 80.1081761101458]",81.94444444444446,384.19276871121565
0,"[8, 13]","[24.094219260076734, 24.70536430913225]","[25.613674558428755, 172.65413151912384]",154.86111111111111,247.06738964676157
0,"[8, 13]","[24.094219260076734, 24.70536430913225]","[25.613674558428755, 172.65413151912384]",154.86111111111111,247.06738964676157
0,"[7, 4]","[29.085553755030546, 42.22737032140977]","[109.20529566328428, 45.93559747939175]",319.44444444444446,226.45381721911633
0,"[7, 4]","[29.085553755030546, 42.22737032140977]","[109.20529566328428, 45.52499816008423]",319.44444444444446,226.45381721911633
0,"[13, 1]","[10.091261220461867, 87.69788412468465]","[61.33180072728565, 140.6954102014633]",127.08333333333334,299.8163562738955
0,"[5, 6]","[27.200484936529016, 19.3813676035129]","[109.25788817347767, 132.56572956513443]",163.88888888888889,288.405470278654
0,"[12, 7]","[33.444869985731586, 49.81692285302469]","[122.68664813160521, 57.54181370680753]",321.5277777777777,263.490254677169
0,"[13, 2]","[49.088537380731445, 49.56088485420699]","[147.50499283645274, 74.05255631349208]",148.61111111111111,320.2069713848832
