simulation,indicators,v_p1,v_p2,v_p3,v_p4,v_p5,v_p6,v_p7,v_p8,v_p9,v_p10,v_p11,v_p12,v_p13,v_p14,v_p15
0,DRP_A,0.0,0.0,0.0,15.972222222222221,18.75,7.638888888888889,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,DRP_B,0.0,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,DRP_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,DRC_A,0.0,0.0,0.0,0.0,0.6944444444444444,12.5,14.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,DRC_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,DRC_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,DRP_A,0.0,0.0,0.0,15.972222222222221,18.75,7.638888888888889,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,DRP_B,0.0,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,DRP_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,DRC_A,0.0,0.0,0.0,0.0,0.6944444444444444,12.5,14.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,DRC_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,DRC_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,DRP_A,0.0,0.0,0.0,15.972222222222221,18.75,7.638888888888889,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,DRP_B,0.0,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,DRP_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,DRC_A,0.0,0.0,0.0,0.0,0.6944444444444444,12.5,14.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,DRC_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,DRC_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,DRP_A,0.0,0.0,0.0,15.972222222222221,18.75,7.638888888888889,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,DRP_B,0.0,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,DRP_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,DRC_A,0.0,0.0,0.0,0.0,0.6944444444444444,12.5,14.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,DRC_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,DRC_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
